geo,age,sex,citizen,acceptance_rate
Austria,65 years or over,Females,Afghanistan,1.0
Austria,65 years or over,Females,Georgia,0.0
Austria,65 years or over,Females,Iran,0.6666666666666666
Austria,65 years or over,Females,Russia,0.3333333333333333
Austria,65 years or over,Females,Syria,1.0
Austria,65 years or over,Females,Total,0.6285714285714286
Austria,65 years or over,Females,Türkiye,0.0
Austria,65 years or over,Males,Afghanistan,1.0
Austria,65 years or over,Males,Georgia,0.0
Austria,65 years or over,Males,Iran,0.5
Austria,65 years or over,Males,Iraq,1.0
Austria,65 years or over,Males,Russia,0.3333333333333333
Austria,65 years or over,Males,Somalia,1.0
Austria,65 years or over,Males,Stateless,1.0
Austria,65 years or over,Males,Syria,1.0
Austria,65 years or over,Males,Total,0.6470588235294118
Austria,From 14 to 17 years,Females,Afghanistan,1.0
Austria,From 14 to 17 years,Females,Armenia,0.0
Austria,From 14 to 17 years,Females,China,1.0
Austria,From 14 to 17 years,Females,Eritrea,1.0
Austria,From 14 to 17 years,Females,Georgia,0.0
Austria,From 14 to 17 years,Females,Iran,1.0
Austria,From 14 to 17 years,Females,Iraq,0.6
Austria,From 14 to 17 years,Females,Moldova,0.0
Austria,From 14 to 17 years,Females,North Macedonia,0.0
Austria,From 14 to 17 years,Females,Pakistan,1.0
Austria,From 14 to 17 years,Females,Russia,0.5
Austria,From 14 to 17 years,Females,Serbia,0.0
Austria,From 14 to 17 years,Females,Somalia,1.0
Austria,From 14 to 17 years,Females,Stateless,1.0
Austria,From 14 to 17 years,Females,Syria,0.9855072463768116
Austria,From 14 to 17 years,Females,Total,0.8703071672354948
Austria,From 14 to 17 years,Females,Tunisia,0.0
Austria,From 14 to 17 years,Females,Türkiye,0.2307692307692307
Austria,From 14 to 17 years,Females,Yemen,1.0
Austria,From 14 to 17 years,Males,Afghanistan,0.9393939393939394
Austria,From 14 to 17 years,Males,Armenia,0.0
Austria,From 14 to 17 years,Males,Azerbaijan,0.0
Austria,From 14 to 17 years,Males,China,1.0
Austria,From 14 to 17 years,Males,Egypt,0.0
Austria,From 14 to 17 years,Males,Eritrea,1.0
Austria,From 14 to 17 years,Males,Georgia,0.0
Austria,From 14 to 17 years,Males,India,0.0
Austria,From 14 to 17 years,Males,Iran,0.7142857142857143
Austria,From 14 to 17 years,Males,Iraq,0.8
Austria,From 14 to 17 years,Males,Jordan,0.0
Austria,From 14 to 17 years,Males,Kosovo*,0.0
Austria,From 14 to 17 years,Males,Moldova,0.0
